ClusteringMethod	ComputationTime	K_LB	K	CCI	NHO	ATD	DMT
29	139	1	1	1	72	180	-90.544149 38.734665,-90.544153 38.734572,-90.544177 38.734475,-90.544235 38.734382,-90.544325 38.734285,-90.544441 38.734226,-90.544609 38.734188,-90.544802 38.734167,-90.544986 38.734171,-90.545152 38.734189,-90.545314 38.734233,-90.545418 38.734278,-90.545506 38.734353999999996,-90.54555 38.734418000000005
239	36	1	1	1	18	45	-90.539657 38.728406,-90.53998 38.72773
36	239	1	1	1	18	45	-90.53998 38.72773,-90.539657 38.728406
79	42	1	1	1	18	45	-90.545459 38.737654,-90.545484 38.737762000000004
42	79	1	1	1	18	45	-90.545484 38.737762000000004,-90.545459 38.737654
45	44	0	1	1	90	225	-90.557116 38.731198,-90.558548 38.73119
44	45	0	1	1	90	225	-90.558548 38.73119,-90.557116 38.731198
63	60	1	1	1	72	180	-90.561076 38.749376999999996,-90.561033 38.749415,-90.559855 38.749785
60	63	1	1	1	72	180	-90.559855 38.749785,-90.561033 38.749415,-90.561076 38.749376999999996
242	62	1	1	1	18	45	-90.553083 38.746244000000004,-90.553083 38.746387999999996,-90.553122 38.746724,-90.553152 38.746834,-90.553218 38.746933999999996,-90.553332 38.747062,-90.553424 38.747145
62	242	1	1	1	18	45	-90.553424 38.747145,-90.553332 38.747062,-90.553218 38.746933999999996,-90.553152 38.746834,-90.553122 38.746724,-90.553083 38.746387999999996,-90.553083 38.746244000000004
224	71	1	1	1	72	180	-90.558441 38.745047,-90.558438 38.745087
71	224	1	1	1	72	180	-90.558438 38.745087,-90.558441 38.745047
75	74	1	1	1	36	90	-90.561924 38.744952999999995,-90.561807 38.74522
74	75	1	1	1	36	90	-90.561807 38.74522,-90.561924 38.744952999999995
95	75	1	1	1	72	180	-90.562471 38.743685,-90.562141 38.744459,-90.561924 38.744952999999995
75	95	1	1	1	72	180	-90.561924 38.744952999999995,-90.562141 38.744459,-90.562471 38.743685
78	77	1	1	1	126	315	-90.540786 38.735952999999995,-90.540805 38.735986,-90.541121 38.736540000000005,-90.541159 38.736601,-90.541182 38.736658,-90.541183 38.73673,-90.541171 38.736802999999995,-90.540946 38.737480000000005,-90.540913 38.737537,-90.540876 38.737578,-90.540824 38.737618999999995,-90.540739 38.737663999999995,-90.540513 38.737749
77	78	1	1	1	126	315	-90.540513 38.737749,-90.540739 38.737663999999995,-90.540824 38.737618999999995,-90.540876 38.737578,-90.540913 38.737537,-90.540946 38.737480000000005,-90.541171 38.736802999999995,-90.541183 38.73673,-90.541182 38.736658,-90.541159 38.736601,-90.541121 38.736540000000005,-90.540805 38.735986,-90.540786 38.735952999999995
80	79	1	1	1	36	90	-90.545277 38.737165000000005,-90.545298 38.737234,-90.545459 38.737654
79	80	1	1	1	36	90	-90.545459 38.737654,-90.545298 38.737234,-90.545277 38.737165000000005
81	80	1	1	1	90	225	-90.545155 38.735612,-90.545265 38.737096,-90.545277 38.737165000000005
80	81	1	1	1	90	225	-90.545277 38.737165000000005,-90.545265 38.737096,-90.545155 38.735612
139	82	1	1	1	54	135	-90.54555 38.734418000000005,-90.545576 38.734491,-90.545574 38.734582,-90.545562 38.734700000000004,-90.545554 38.734821,-90.545554 38.734914,-90.545568 38.735008,-90.545583 38.735107,-90.545703 38.735499000000004
82	139	1	1	1	54	135	-90.545703 38.735499000000004,-90.545583 38.735107,-90.545568 38.735008,-90.545554 38.734914,-90.545554 38.734821,-90.545562 38.734700000000004,-90.545574 38.734582,-90.545576 38.734491,-90.54555 38.734418000000005
87	83	1	1	1	54	135	-90.546905 38.73621,-90.546922 38.736076,-90.546937 38.735922,-90.546949 38.735749999999996,-90.546953 38.735511,-90.546918 38.735226999999995
83	87	1	1	1	54	135	-90.546918 38.735226999999995,-90.546953 38.735511,-90.546949 38.735749999999996,-90.546937 38.735922,-90.546922 38.736076,-90.546905 38.73621
263	84	1	1	1	108	270	-90.557018 38.739442,-90.560528 38.739401
84	263	1	1	1	108	270	-90.560528 38.739401,-90.557018 38.739442
88	87	1	1	1	126	315	-90.546961 38.737502,-90.546957 38.7374,-90.546937 38.737302,-90.546906 38.737205,-90.546886 38.73708,-90.546876 38.736856,-90.546871 38.736672999999996,-90.546876 38.736515,-90.546905 38.73621
87	88	1	1	1	126	315	-90.546905 38.73621,-90.546876 38.736515,-90.546871 38.736672999999996,-90.546876 38.736856,-90.546886 38.73708,-90.546906 38.737205,-90.546937 38.737302,-90.546957 38.7374,-90.546961 38.737502
259	94	1	1	1	18	45	-90.535687 38.736723999999995,-90.535103 38.737927
94	259	1	1	1	18	45	-90.535103 38.737927,-90.535687 38.736723999999995
110	99	0	1	1	54	135	-90.552718 38.728811,-90.551278 38.728826
99	110	0	1	1	54	135	-90.551278 38.728826,-90.552718 38.728811
120	101	0	1	1	72	180	-90.560019 38.732490999999996,-90.561485 38.732498
101	120	0	1	1	72	180	-90.561485 38.732498,-90.560019 38.732490999999996
126	102	0	1	1	216	540	-90.565947 38.737539999999996,-90.565968 38.737522999999996,-90.565976 38.737498,-90.56598 38.737436,-90.565979 38.737378,-90.565925 38.734094
102	126	0	1	1	216	540	-90.565925 38.734094,-90.565979 38.737378,-90.56598 38.737436,-90.565976 38.737498,-90.565968 38.737522999999996,-90.565947 38.737539999999996
127	102	0	1	1	180	450	-90.565893 38.732477,-90.565909 38.732505,-90.565915 38.732539,-90.565917 38.732580999999996,-90.565925 38.734094
102	127	0	1	1	180	450	-90.565925 38.734094,-90.565917 38.732580999999996,-90.565915 38.732539,-90.565909 38.732505,-90.565893 38.732477
193	106	0	1	1	18	45	-90.566718 38.741785,-90.566651 38.742186000000004
106	193	0	1	1	18	45	-90.566651 38.742186000000004,-90.566718 38.741785
114	113	0	1	1	54	135	-90.56146 38.731227000000004,-90.559992 38.731232
113	114	0	1	1	54	135	-90.559992 38.731232,-90.56146 38.731227000000004
117	116	0	1	1	90	225	-90.565833 38.731213,-90.564391 38.731217
116	117	0	1	1	90	225	-90.564391 38.731217,-90.565833 38.731213
144	126	0	1	1	54	135	-90.564517 38.737539999999996,-90.565916 38.737547,-90.565947 38.737539999999996
126	144	0	1	1	54	135	-90.565947 38.737539999999996,-90.565916 38.737547,-90.564517 38.737539999999996
144	132	0	1	1	90	225	-90.564517 38.737539999999996,-90.56305 38.737545
132	144	0	1	1	90	225	-90.56305 38.737545,-90.564517 38.737539999999996
277	134	0	1	1	126	315	-90.562866 38.726751,-90.562852 38.72538
134	277	0	1	1	126	315	-90.562852 38.72538,-90.562866 38.726751
139	138	1	1	1	162	405	-90.54555 38.734418000000005,-90.545777 38.73435,-90.545939 38.734312,-90.546158 38.734274,-90.546395 38.734246999999996,-90.546629 38.734235999999996,-90.54685 38.734243,-90.546948 38.734257,-90.547028 38.734299,-90.547068 38.734357,-90.547088 38.734427,-90.547117 38.734821
138	139	1	1	1	162	405	-90.547117 38.734821,-90.547088 38.734427,-90.547068 38.734357,-90.547028 38.734299,-90.546948 38.734257,-90.54685 38.734243,-90.546629 38.734235999999996,-90.546395 38.734246999999996,-90.546158 38.734274,-90.545939 38.734312,-90.545777 38.73435,-90.54555 38.734418000000005
263	146	1	1	1	72	180	-90.557018 38.739442,-90.554395 38.739473000000004
146	263	1	1	1	72	180	-90.554395 38.739473000000004,-90.557018 38.739442
153	149	1	1	1	90	225	-90.553296 38.744907,-90.553503 38.744135,-90.553711 38.743573999999995,-90.553936 38.743086000000005,-90.554091 38.742775,-90.554255 38.742408,-90.55436 38.741980999999996,-90.554373 38.741848000000005
149	153	1	1	1	90	225	-90.554373 38.741848000000005,-90.55436 38.741980999999996,-90.554255 38.742408,-90.554091 38.742775,-90.553936 38.743086000000005,-90.553711 38.743573999999995,-90.553503 38.744135,-90.553296 38.744907
204	174	0	1	1	18	45	-90.56738 38.728322,-90.567385 38.727706999999995
174	204	0	1	1	18	45	-90.567385 38.727706999999995,-90.56738 38.728322
226	180	1	1	1	18	45	-90.541746 38.728873,-90.541692 38.728887,-90.541188 38.728897
180	226	1	1	1	18	45	-90.541188 38.728897,-90.541692 38.728887,-90.541746 38.728873
273	201	0	1	1	18	45	-90.566294 38.722609,-90.566479 38.7227
201	273	0	1	1	18	45	-90.566479 38.7227,-90.566294 38.722609
262	208	1	1	1	18	45	-90.539532 38.728665,-90.538565 38.730685,-90.53836 38.731117999999995
208	262	1	1	1	18	45	-90.53836 38.731117999999995,-90.538565 38.730685,-90.539532 38.728665
254	213	0	1	1	18	45	-90.567386 38.722373000000005,-90.567226 38.722942
213	254	0	1	1	18	45	-90.567226 38.722942,-90.567386 38.722373000000005
272	232	0	1	1	18	45	-90.548987 38.726073,-90.548983 38.725879
232	272	0	1	1	18	45	-90.548983 38.725879,-90.548987 38.726073
103	7	-1	0	1	0	0	-90.558546 38.727011000000005,-90.558545 38.726867
7	103	-1	0	1	0	0	-90.558545 38.726867,-90.558546 38.727011000000005
72	32	-1	0	1	0	0	-90.564413 38.746001,-90.564356 38.746119
32	72	-1	0	1	0	0	-90.564356 38.746119,-90.564413 38.746001
232	34	-1	0	1	0	0	-90.548983 38.725879,-90.548972 38.725325
34	232	-1	0	1	0	0	-90.548972 38.725325,-90.548983 38.725879
69	67	-1	0	1	0	0	-90.567486 38.74752,-90.5674 38.747851,-90.567373 38.748441,-90.567208 38.749862,-90.567207 38.750037,-90.567333 38.751242000000005,-90.567333 38.751512000000005,-90.567282 38.751712999999995,-90.566946 38.75268,-90.56688 38.752916,-90.566797 38.753303,-90.566712 38.753815,-90.56657 38.754543999999996,-90.566537 38.754602
67	69	-1	0	1	0	0	-90.566537 38.754602,-90.56657 38.754543999999996,-90.566712 38.753815,-90.566797 38.753303,-90.56688 38.752916,-90.566946 38.75268,-90.567282 38.751712999999995,-90.567333 38.751512000000005,-90.567333 38.751242000000005,-90.567207 38.750037,-90.567208 38.749862,-90.567373 38.748441,-90.5674 38.747851,-90.567486 38.74752
82	81	-1	0	1	0	0	-90.545703 38.735499000000004,-90.545436 38.735580999999996,-90.545267 38.735609,-90.545155 38.735612
81	82	-1	0	1	0	0	-90.545155 38.735612,-90.545267 38.735609,-90.545436 38.735580999999996,-90.545703 38.735499000000004
83	82	-1	0	1	0	0	-90.546918 38.735226999999995,-90.546689 38.735244,-90.546596 38.73525,-90.546502 38.735265999999996,-90.546328 38.735313000000005,-90.545703 38.735499000000004
82	83	-1	0	1	0	0	-90.545703 38.735499000000004,-90.546328 38.735313000000005,-90.546502 38.735265999999996,-90.546596 38.73525,-90.546689 38.735244,-90.546918 38.735226999999995
141	91	-1	0	1	0	0	-90.541772 38.735177,-90.540684 38.735181999999995
91	141	-1	0	1	0	0	-90.540684 38.735181999999995,-90.541772 38.735177
184	92	-1	0	1	0	0	-90.537686 38.732546,-90.537947 38.731995
92	184	-1	0	1	0	0	-90.537947 38.731995,-90.537686 38.732546
208	92	-1	0	1	0	0	-90.53836 38.731117999999995,-90.537947 38.731995
92	208	-1	0	1	0	0	-90.537947 38.731995,-90.53836 38.731117999999995
241	93	-1	0	1	0	0	-90.537505 38.732928,-90.536463 38.735126
93	241	-1	0	1	0	0	-90.536463 38.735126,-90.537505 38.732928
259	93	-1	0	1	0	0	-90.535687 38.736723999999995,-90.536463 38.735126
93	259	-1	0	1	0	0	-90.536463 38.735126,-90.535687 38.736723999999995
206	118	-1	0	1	0	0	-90.561024 38.725145,-90.561377 38.725041000000004
118	206	-1	0	1	0	0	-90.561377 38.725041000000004,-90.561024 38.725145
164	163	-1	0	1	0	0	-90.547382 38.724402999999995,-90.547582 38.724404
163	164	-1	0	1	0	0	-90.547582 38.724404,-90.547382 38.724402999999995
257	180	-1	0	1	0	0	-90.540077 38.728555,-90.540855 38.728832,-90.541059 38.728882999999996,-90.541188 38.728897
180	257	-1	0	1	0	0	-90.541188 38.728897,-90.541059 38.728882999999996,-90.540855 38.728832,-90.540077 38.728555
223	181	-1	0	1	0	0	-90.567611 38.723026000000004,-90.568015 38.723098
181	223	-1	0	1	0	0	-90.568015 38.723098,-90.567611 38.723026000000004
241	184	-1	0	1	0	0	-90.537505 38.732928,-90.537686 38.732546
184	241	-1	0	1	0	0	-90.537686 38.732546,-90.537505 38.732928
225	186	-1	0	1	0	0	-90.566641 38.722778000000005,-90.566875 38.721933
186	225	-1	0	1	0	0	-90.566875 38.721933,-90.566641 38.722778000000005
230	186	-1	0	1	0	0	-90.566696 38.721934000000005,-90.566875 38.721933
186	230	-1	0	1	0	0	-90.566875 38.721933,-90.566696 38.721934000000005
268	186	-1	0	1	0	0	-90.567102 38.721931999999995,-90.566875 38.721933
186	268	-1	0	1	0	0	-90.566875 38.721933,-90.567102 38.721931999999995
271	186	-1	0	1	0	0	-90.566871 38.721868,-90.566875 38.721933
186	271	-1	0	1	0	0	-90.566875 38.721933,-90.566871 38.721868
197	188	-1	0	1	0	0	-90.567309 38.721193,-90.567308 38.721540000000005
188	197	-1	0	1	0	0	-90.567308 38.721540000000005,-90.567309 38.721193
269	188	-1	0	1	0	0	-90.567307 38.721708,-90.567308 38.721540000000005
188	269	-1	0	1	0	0	-90.567308 38.721540000000005,-90.567307 38.721708
271	188	-1	0	1	0	0	-90.566871 38.721868,-90.566818 38.721885,-90.566781 38.721888,-90.566735 38.721880999999996,-90.566705 38.721866,-90.566693 38.721847,-90.566691 38.721811,-90.566705 38.721786,-90.566754 38.721767,-90.566918 38.721679,-90.567054 38.721621999999996,-90.567308 38.721540000000005
188	271	-1	0	1	0	0	-90.567308 38.721540000000005,-90.567054 38.721621999999996,-90.566918 38.721679,-90.566754 38.721767,-90.566705 38.721786,-90.566691 38.721811,-90.566693 38.721847,-90.566705 38.721866,-90.566735 38.721880999999996,-90.566781 38.721888,-90.566818 38.721885,-90.566871 38.721868
238	195	-1	0	1	0	0	-90.562456 38.72354,-90.562595 38.723496
195	238	-1	0	1	0	0	-90.562595 38.723496,-90.562456 38.72354
240	195	-1	0	1	0	0	-90.561987 38.723505,-90.562459 38.723327,-90.562483 38.723327999999995,-90.562512 38.723342,-90.56253 38.723372,-90.562595 38.723496
195	240	-1	0	1	0	0	-90.562595 38.723496,-90.56253 38.723372,-90.562512 38.723342,-90.562483 38.723327999999995,-90.562459 38.723327,-90.561987 38.723505
265	195	-1	0	1	0	0	-90.562769 38.72344,-90.562595 38.723496
195	265	-1	0	1	0	0	-90.562595 38.723496,-90.562769 38.72344
247	199	-1	0	1	0	0	-90.566596 38.721934000000005,-90.566502 38.721677,-90.566427 38.721531
199	247	-1	0	1	0	0	-90.566427 38.721531,-90.566502 38.721677,-90.566596 38.721934000000005
225	201	-1	0	1	0	0	-90.566641 38.722778000000005,-90.566479 38.7227
201	225	-1	0	1	0	0	-90.566479 38.7227,-90.566641 38.722778000000005
230	201	-1	0	1	0	0	-90.566696 38.721934000000005,-90.566479 38.7227
201	230	-1	0	1	0	0	-90.566479 38.7227,-90.566696 38.721934000000005
279	205	-1	0	1	0	0	-90.538119 38.732782,-90.538028 38.732715
205	279	-1	0	1	0	0	-90.538028 38.732715,-90.538119 38.732782
247	210	-1	0	1	0	0	-90.566596 38.721934000000005,-90.566482 38.72202
210	247	-1	0	1	0	0	-90.566482 38.72202,-90.566596 38.721934000000005
273	210	-1	0	1	0	0	-90.566294 38.722609,-90.566139 38.722533,-90.56631 38.722176000000005,-90.566482 38.72202
210	273	-1	0	1	0	0	-90.566482 38.72202,-90.56631 38.722176000000005,-90.566139 38.722533,-90.566294 38.722609
213	211	-1	0	1	0	0	-90.567226 38.722942,-90.56732 38.722966
211	213	-1	0	1	0	0	-90.56732 38.722966,-90.567226 38.722942
237	211	-1	0	1	0	0	-90.567396 38.722982,-90.56732 38.722966
211	237	-1	0	1	0	0	-90.56732 38.722966,-90.567396 38.722982
217	213	-1	0	1	0	0	-90.567025 38.722896,-90.567226 38.722942
213	217	-1	0	1	0	0	-90.567226 38.722942,-90.567025 38.722896
217	215	-1	0	1	0	0	-90.567025 38.722896,-90.567306 38.721931999999995
215	217	-1	0	1	0	0	-90.567306 38.721931999999995,-90.567025 38.722896
231	215	-1	0	1	0	0	-90.567393 38.721931999999995,-90.567306 38.721931999999995
215	231	-1	0	1	0	0	-90.567306 38.721931999999995,-90.567393 38.721931999999995
268	215	-1	0	1	0	0	-90.567102 38.721931999999995,-90.567306 38.721931999999995
215	268	-1	0	1	0	0	-90.567306 38.721931999999995,-90.567102 38.721931999999995
269	215	-1	0	1	0	0	-90.567307 38.721708,-90.567306 38.721931999999995
215	269	-1	0	1	0	0	-90.567306 38.721931999999995,-90.567307 38.721708
243	217	-1	0	1	0	0	-90.566833 38.722851,-90.567025 38.722896
217	243	-1	0	1	0	0	-90.567025 38.722896,-90.566833 38.722851
281	220	-1	0	1	0	0	-90.56266 38.723995,-90.562847 38.723928
220	281	-1	0	1	0	0	-90.562847 38.723928,-90.56266 38.723995
235	222	-1	0	1	0	0	-90.56751 38.721931,-90.567705 38.72193
222	235	-1	0	1	0	0	-90.567705 38.72193,-90.56751 38.721931
237	222	-1	0	1	0	0	-90.567396 38.722982,-90.567705 38.72193
222	237	-1	0	1	0	0	-90.567705 38.72193,-90.567396 38.722982
244	222	-1	0	1	0	0	-90.567918 38.72193,-90.567705 38.72193
222	244	-1	0	1	0	0	-90.567705 38.72193,-90.567918 38.72193
237	223	-1	0	1	0	0	-90.567396 38.722982,-90.567487 38.723003,-90.567611 38.723026000000004
223	237	-1	0	1	0	0	-90.567611 38.723026000000004,-90.567487 38.723003,-90.567396 38.722982
244	223	-1	0	1	0	0	-90.567918 38.72193,-90.567611 38.723026000000004
223	244	-1	0	1	0	0	-90.567611 38.723026000000004,-90.567918 38.72193
243	225	-1	0	1	0	0	-90.566833 38.722851,-90.566789 38.722841,-90.566641 38.722778000000005
225	243	-1	0	1	0	0	-90.566641 38.722778000000005,-90.566789 38.722841,-90.566833 38.722851
247	230	-1	0	1	0	0	-90.566596 38.721934000000005,-90.566696 38.721934000000005
230	247	-1	0	1	0	0	-90.566696 38.721934000000005,-90.566596 38.721934000000005
235	231	-1	0	1	0	0	-90.56751 38.721931,-90.567393 38.721931999999995
231	235	-1	0	1	0	0	-90.567393 38.721931999999995,-90.56751 38.721931
254	235	-1	0	1	0	0	-90.567386 38.722373000000005,-90.56751 38.721931
235	254	-1	0	1	0	0	-90.56751 38.721931,-90.567386 38.722373000000005
240	238	-1	0	1	0	0	-90.561987 38.723505,-90.562056 38.723637,-90.562084 38.723649,-90.562119 38.723648,-90.56217 38.723631999999995,-90.562456 38.72354
238	240	-1	0	1	0	0	-90.562456 38.72354,-90.56217 38.723631999999995,-90.562119 38.723648,-90.562084 38.723649,-90.562056 38.723637,-90.561987 38.723505
281	238	-1	0	1	0	0	-90.56266 38.723995,-90.562456 38.72354
238	281	-1	0	1	0	0	-90.562456 38.72354,-90.56266 38.723995
262	239	-1	0	1	0	0	-90.539532 38.728665,-90.539657 38.728406
239	262	-1	0	1	0	0	-90.539657 38.728406,-90.539532 38.728665
280	240	-1	0	1	0	0	-90.561855 38.723253,-90.561987 38.723505
240	280	-1	0	1	0	0	-90.561987 38.723505,-90.561855 38.723253
268	243	-1	0	1	0	0	-90.567102 38.721931999999995,-90.566833 38.722851
243	268	-1	0	1	0	0	-90.566833 38.722851,-90.567102 38.721931999999995
252	244	-1	0	1	0	0	-90.568197 38.721929,-90.567918 38.72193
244	252	-1	0	1	0	0	-90.567918 38.72193,-90.568197 38.721929
271	269	-1	0	1	0	0	-90.566871 38.721868,-90.56698 38.721833000000004,-90.567307 38.721708
269	271	-1	0	1	0	0	-90.567307 38.721708,-90.56698 38.721833000000004,-90.566871 38.721868
264	165	0	1	0	18	45	-90.544559 38.724416000000005,-90.54516 38.724424
143	142	1	1	0	54	135	-90.544039 38.735472,-90.543974 38.736411000000004
35	118	0	1	0	72	180	-90.562852 38.724438,-90.561377 38.725041000000004
35	134	0	1	0	18	45	-90.562852 38.724438,-90.562852 38.72538
121	122	0	1	0	144	360	-90.558637 38.732515,-90.558612 38.732554,-90.558612 38.732606000000004,-90.558647 38.734967999999995
43	45	0	1	0	18	45	-90.555692 38.731198,-90.555752 38.731209,-90.557116 38.731198
43	48	0	1	0	126	315	-90.555692 38.731198,-90.555662 38.731156999999996,-90.555653 38.731119,-90.55561 38.728256
30	59	1	1	0	18	45	-90.564133 38.75466,-90.564248 38.754669,-90.564417 38.754695,-90.564925 38.754828,-90.565171 38.754863,-90.565438 38.754858999999996,-90.565569 38.754841,-90.565722 38.754808
76	51	1	1	0	36	90	-90.538355 38.737538,-90.538301 38.737465,-90.538247 38.737370999999996,-90.538225 38.737286,-90.538214 38.737162999999995,-90.538247 38.736523,-90.538236 38.7364,-90.538225 38.736278,-90.538203 38.736146000000005,-90.538192 38.736004,-90.538181 38.735873,-90.538181 38.735721999999996,-90.538203 38.73558,-90.538225 38.735448000000005,-90.538258 38.735316999999995,-90.538253 38.735146
76	77	1	1	0	90	225	-90.538355 38.737538,-90.538429 38.737598,-90.538565 38.737684,-90.538721 38.737753,-90.538924 38.737802,-90.539126 38.737835000000004,-90.539405 38.737854999999996,-90.539772 38.737854999999996,-90.540093 38.737835000000004,-90.540324 38.737802,-90.540513 38.737749
250	115	0	1	0	18	45	-90.562214 38.731224,-90.562912 38.731222
250	114	0	1	0	18	45	-90.562214 38.731224,-90.56146 38.731227000000004
52	91	1	1	0	36	90	-90.53947 38.735145,-90.540684 38.735181999999995
100	110	1	1	0	342	855	-90.552868 38.737607,-90.552718 38.728811
100	112	1	1	0	72	180	-90.552868 38.737607,-90.554236 38.737586,-90.554264 38.737583,-90.554281 38.737573
6	99	1	1	0	558	1395	-90.5514 38.737404999999995,-90.551278 38.728826
167	171	0	1	0	18	45	-90.561979 38.723207,-90.562556 38.722989
110	100	1	1	0	486	1215	-90.552718 38.728811,-90.552868 38.737607
4	150	1	1	0	18	45	-90.560339 38.742596,-90.560856 38.742384
148	149	1	1	0	36	90	-90.556272 38.742199,-90.555718 38.742023,-90.555126 38.741915,-90.554497 38.741851,-90.554373 38.741848000000005
33	108	0	1	0	72	180	-90.554252 38.725759,-90.554279 38.727008999999995
33	135	0	1	0	198	495	-90.554252 38.725759,-90.557697 38.725725,-90.557837 38.725718,-90.558537 38.725667
104	105	0	1	0	72	180	-90.565566 38.72383,-90.565628 38.723875,-90.565688 38.723993,-90.565723 38.724157000000005,-90.565753 38.725806
171	17	0	1	0	18	45	-90.562556 38.722989,-90.56339 38.722674,-90.563662 38.722572
279	51	1	1	0	54	135	-90.538119 38.732782,-90.538184 38.732866,-90.538208 38.732935,-90.538232 38.733049,-90.538269 38.733610999999996,-90.53828 38.733734,-90.538285 38.733846,-90.538297 38.733941,-90.538304 38.734043,-90.538297 38.734207999999995,-90.538273 38.734383,-90.538247 38.734494,-90.538239 38.734635,-90.538249 38.734824,-90.538258 38.734963,-90.538253 38.735146
96	86	1	1	0	126	315	-90.548521 38.737611,-90.548511 38.737587000000005,-90.548507 38.737558,-90.548432 38.735257000000004
96	97	1	1	0	36	90	-90.548521 38.737611,-90.548537 38.737629,-90.548569 38.737635999999995,-90.54993 38.737646
27	214	0	1	0	90	225	-90.565351 38.723714,-90.565268 38.723691,-90.565168 38.723691,-90.565091 38.723696000000004,-90.563562 38.724203
63	64	1	1	0	72	180	-90.561076 38.749376999999996,-90.561083 38.749359,-90.561049 38.747779,-90.561059 38.747717,-90.561108 38.747676999999996
54	53	1	1	0	90	225	-90.549371 38.749853,-90.549401 38.750817999999995,-90.549401 38.751059,-90.549389 38.751237,-90.549361 38.751438,-90.549236 38.752032,-90.549233 38.752114,-90.549264 38.752246,-90.549284 38.752291,-90.549321 38.752339,-90.549372 38.752385000000004,-90.549436 38.752419,-90.549513 38.752447000000004,-90.549599 38.752466,-90.549765 38.752474,-90.551576 38.752418
54	56	1	1	0	18	45	-90.549371 38.749853,-90.549349 38.749128999999996
50	44	0	1	0	90	225	-90.558503 38.728239,-90.558548 38.73119
50	103	0	1	0	72	180	-90.558503 38.728239,-90.558546 38.727011000000005
