ClusteringMethod	ComputationTime	K_LB	K	CCI	NHO	ATD	DMT
METIS_MODIFIED	3.222	2	2	1.05263	17.1228	490.809	34064.5
Starting Node	Ending Node	Cluster	Required	Is Edge	Weight	Volume	Shape
225	215	1	1	0	126	315	-90.389199 38.611128,-90.389199 38.611173,-90.389203 38.611197000000004,-90.389213 38.611221,-90.389233 38.611248,-90.389257 38.611276000000004,-90.389442 38.611443,-90.389469 38.611462,-90.389497 38.611475,-90.389527 38.611483,-90.38956 38.611488,-90.389589 38.611488,-90.389627 38.611485,-90.389667 38.611474,-90.389744 38.611451,-90.389919 38.611394000000004
44	360	0	1	0	18	45	-90.394801 38.610175,-90.394716 38.610040999999995
42	268	0	1	0	180	450	-90.40024 38.611388000000005,-90.400295 38.611376,-90.400977 38.611205,-90.401852 38.610984
274	275	1	1	0	54	135	-90.38382 38.601597,-90.383983 38.601426000000004,-90.384171 38.601196,-90.384434 38.600706,-90.384592 38.600458,-90.38471 38.600286,-90.384936 38.60002
213	212	1	1	0	90	225	-90.391219 38.61183,-90.391167 38.611869,-90.391134 38.611883,-90.39041 38.612083,-90.39 38.612192
213	226	1	1	0	144	360	-90.391219 38.61183,-90.391119 38.611689,-90.391013 38.611554999999996,-90.39078 38.611292,-90.390601 38.611114,-90.390474 38.611000000000004,-90.390404 38.610941,-90.390363 38.610896,-90.390305 38.610824,-90.390266 38.610765,-90.390246 38.61072
121	118	1	1	0	90	225	-90.384829 38.609322,-90.38416 38.608776
142	205	1	1	0	72	180	-90.393249 38.603779,-90.392787 38.603677000000005
253	389	0	1	0	54	135	-90.395846 38.613302000000004,-90.396482 38.613129
253	476	0	1	0	270	675	-90.395846 38.613302000000004,-90.395803 38.613197,-90.395757 38.613106,-90.395401 38.612539,-90.394351 38.610895
149	150	1	1	0	36	90	-90.390549 38.603815,-90.390615 38.603616,-90.390631 38.603417,-90.390569 38.603187,-90.390528 38.603094
149	287	1	1	0	54	135	-90.390549 38.603815,-90.39036 38.604049,-90.390155 38.604301,-90.390099 38.604344999999995,-90.390033 38.60435,-90.389946 38.604323,-90.389854 38.604282999999995
268	42	0	1	0	144	360	-90.401852 38.610984,-90.400977 38.611205,-90.400295 38.611376,-90.40024 38.611388000000005
292	42	0	1	0	18	45	-90.400141 38.61139,-90.40019 38.611396,-90.40024 38.611388000000005
291	266	0	1	0	360	900	-90.397686 38.608982,-90.397846 38.609224,-90.398374 38.610107,-90.399596 38.612023,-90.399767 38.612294
291	290	0	1	0	162	405	-90.397686 38.608982,-90.397564 38.608841,-90.396761 38.607584
150	149	1	1	0	54	135	-90.390528 38.603094,-90.390569 38.603187,-90.390631 38.603417,-90.390615 38.603616,-90.390549 38.603815
150	143	1	1	0	54	135	-90.390528 38.603094,-90.390722 38.603019,-90.391019 38.602944
364	429	1	1	0	18	45	-90.389687 38.606466999999995,-90.38937 38.606226
236	238	0	1	0	54	135	-90.392304 38.608517,-90.391804 38.609081
236	435	0	1	0	216	540	-90.392304 38.608517,-90.392496 38.608644,-90.39262 38.608731,-90.392772 38.608850000000004,-90.392915 38.608972,-90.393017 38.609064000000004,-90.39317 38.609207999999995,-90.393235 38.609282,-90.39343 38.609493,-90.39355 38.609643,-90.393583 38.609685,-90.393709 38.609869,-90.393984 38.61031
55	54	1	1	0	144	360	-90.383584 38.606860999999995,-90.383627 38.60691,-90.383653 38.606942000000004,-90.383659 38.606982,-90.383653 38.607008,-90.383622 38.607061,-90.383545 38.607130999999995,-90.383367 38.607291000000004,-90.382932 38.607697
55	59	1	1	0	126	315	-90.383584 38.606860999999995,-90.383469 38.606733,-90.383206 38.606419,-90.382978 38.606141
152	154	1	1	0	180	450	-90.386569 38.602869,-90.386605 38.602824999999996,-90.386656 38.602754000000004,-90.386768 38.602568000000005,-90.386892 38.602297,-90.387049 38.601963,-90.387175 38.601749999999996,-90.387254 38.60165,-90.387347 38.601548,-90.38746 38.601421
481	426	1	1	0	18	45	-90.38605 38.608164,-90.386006 38.608107000000004,-90.385916 38.607994000000005,-90.38585 38.607915,-90.385676 38.607741000000004,-90.385501 38.607565,-90.385408 38.607473
375	231	0	1	0	396	990	-90.396835 38.609069000000005,-90.39604 38.607799,-90.395767 38.607437000000004,-90.395439 38.607051999999996,-90.395243 38.606854999999996,-90.394506 38.606233,-90.394364 38.606128999999996
375	289	0	1	0	18	45	-90.396835 38.609069000000005,-90.396986 38.609308999999996
180	176	1	1	0	18	45	-90.396328 38.603252999999995,-90.396515 38.60306
120	50	1	1	0	18	45	-90.383937 38.610136,-90.384112 38.609976
120	122	1	1	0	108	270	-90.383937 38.610136,-90.384561 38.610670999999996
221	48	0	1	0	144	360	-90.392834 38.612946,-90.392809 38.612976,-90.392766 38.613001,-90.391941 38.613224,-90.391604 38.613314,-90.391564 38.613333,-90.391542 38.613351
221	222	0	1	0	126	315	-90.392834 38.612946,-90.392845 38.612918,-90.392851 38.612880000000004,-90.392847 38.612851,-90.392824 38.612794,-90.392775 38.612717,-90.392487 38.612273
62	313	1	1	0	18	45	-90.383458 38.605794,-90.383821 38.606227000000004,-90.384097 38.606527
251	229	0	1	0	18	45	-90.397423 38.612877999999995,-90.397797 38.612777
251	240	0	1	0	288	720	-90.397423 38.612877999999995,-90.397368 38.612766,-90.397319 38.612669,-90.397264 38.612586,-90.397059 38.612252,-90.396115 38.610799,-90.395588 38.609967
498	65	1	1	0	36	90	-90.380331 38.605959999999996,-90.380349 38.605875999999995,-90.380411 38.60567,-90.380493 38.605471,-90.380621 38.605214000000004,-90.380789 38.604941,-90.380999 38.604586999999995,-90.381245 38.60416
337	418	1	1	0	18	45	-90.386753 38.609548000000004,-90.386855 38.609718
51	204	1	1	0	72	180	-90.391033 38.604583000000005,-90.391254 38.604333,-90.391365 38.604141,-90.391438 38.604009000000005
51	201	1	1	0	36	90	-90.391033 38.604583000000005,-90.390999 38.604635,-90.390989 38.604670999999996
345	252	0	1	0	270	675	-90.395048 38.610563,-90.39622 38.612408,-90.396468 38.612777,-90.396559 38.612939999999995,-90.396628 38.61309
345	243	0	1	0	18	45	-90.395048 38.610563,-90.394887 38.61031
290	291	0	1	0	180	450	-90.396761 38.607584,-90.397564 38.608841,-90.397686 38.608982
266	267	0	1	0	234	585	-90.399767 38.612294,-90.400766 38.612023,-90.401042 38.611982,-90.402097 38.611708
266	291	0	1	0	360	900	-90.399767 38.612294,-90.399596 38.612023,-90.398374 38.610107,-90.397846 38.609224,-90.397686 38.608982
482	234	0	1	0	324	810	-90.395438 38.60973,-90.394844 38.60879,-90.394731 38.608624,-90.394711 38.608598,-90.394653 38.608515,-90.394596 38.608436999999995,-90.394551 38.608382,-90.394301 38.608104999999995,-90.39404 38.607852,-90.393862 38.607696000000004,-90.393621 38.607507999999996,-90.393317 38.607305
482	240	0	1	0	18	45	-90.395438 38.60973,-90.395588 38.609967
243	345	0	1	0	18	45	-90.394887 38.61031,-90.395048 38.610563
232	234	0	1	0	72	180	-90.393834 38.606706,-90.393317 38.607305
232	475	0	1	0	342	855	-90.393834 38.606706,-90.39422 38.607016,-90.394611 38.607347000000004,-90.394893 38.607614,-90.395143 38.607905,-90.395434 38.608274,-90.396151 38.609404999999995
114	49	1	1	0	198	495	-90.38246 38.609969,-90.384279 38.611511
114	113	1	1	0	36	90	-90.38246 38.609969,-90.38198 38.610408,-90.381508 38.610835,-90.381474 38.610847,-90.381441 38.610852
114	115	1	1	0	54	135	-90.38246 38.609969,-90.382152 38.609702,-90.382137 38.609668,-90.382133 38.609629999999996
381	380	1	1	0	18	45	-90.383982 38.60538,-90.384111 38.605282,-90.384244 38.605176,-90.384402 38.60507
393	416	1	1	0	198	495	-90.384461 38.603046,-90.384466 38.603104,-90.384488 38.603266000000005,-90.38452 38.603547,-90.384525 38.603595999999996,-90.384522 38.603633,-90.384509 38.603659,-90.384477 38.603685999999996,-90.384348 38.603772,-90.383752 38.604136,-90.383712 38.604147999999995,-90.383683 38.60416,-90.383643 38.604157,-90.38361 38.604143,-90.383565 38.604124999999996,-90.382996 38.603719,-90.382964 38.6037,-90.38291 38.603677000000005,-90.382857 38.603656,-90.382771 38.603635
393	489	1	1	0	72	180	-90.384461 38.603046,-90.384364 38.603048,-90.3843 38.603053,-90.384243 38.60306,-90.384179 38.603085,-90.384101 38.603136,-90.38386 38.60332,-90.383798 38.603353999999996,-90.383755 38.603381999999996,-90.383723 38.603392,-90.383683 38.603398999999996,-90.383671 38.603398999999996
393	412	1	1	0	198	495	-90.384461 38.603046,-90.384453 38.602946
219	220	1	1	0	126	315	-90.390401 38.612883,-90.390433 38.612864,-90.390468 38.612848,-90.390544 38.612823,-90.390665 38.612791,-90.390822 38.612747999999996,-90.391467 38.612575,-90.391651 38.612521
264	43	0	1	0	198	495	-90.403738 38.61047,-90.403659 38.610522,-90.40203 38.610938000000004
215	214	1	1	0	54	135	-90.389919 38.611394000000004,-90.389912 38.611371,-90.389915 38.611337,-90.389933 38.611309,-90.389962 38.611286,-90.389994 38.611272,-90.390029 38.611267999999995,-90.390065 38.611281000000005,-90.390092 38.611301999999995
215	225	1	1	0	36	90	-90.389919 38.611394000000004,-90.389744 38.611451,-90.389667 38.611474,-90.389627 38.611485,-90.389589 38.611488,-90.38956 38.611488,-90.389527 38.611483,-90.389497 38.611475,-90.389469 38.611462,-90.389442 38.611443,-90.389257 38.611276000000004,-90.389233 38.611248,-90.389213 38.611221,-90.389203 38.611197000000004,-90.389199 38.611173,-90.389199 38.611128
234	235	0	1	0	72	180	-90.393317 38.607305,-90.392804 38.607910000000004
234	482	0	1	0	306	765	-90.393317 38.607305,-90.393621 38.607507999999996,-90.393862 38.607696000000004,-90.39404 38.607852,-90.394301 38.608104999999995,-90.394551 38.608382,-90.394596 38.608436999999995,-90.394653 38.608515,-90.394711 38.608598,-90.394731 38.608624,-90.394844 38.60879,-90.395438 38.60973
135	495	0	1	0	18	45	-90.390125 38.608931999999996,-90.39075 38.608319,-90.391257 38.607835
246	239	0	1	0	180	450	-90.392714 38.61134,-90.392449 38.61095,-90.39226 38.610715,-90.392087 38.610513,-90.391829 38.610258,-90.391625 38.610074999999995,-90.391444 38.609935
19	468	-1	0	0	0	0	-90.389204 38.609121,-90.38907 38.609248,-90.388526 38.609763
343	15	-1	0	0	0	0	-90.382255 38.615641,-90.382312 38.615689,-90.382378 38.615736999999996,-90.382455 38.615766,-90.382537 38.615766,-90.382669 38.61574
183	187	-1	0	0	0	0	-90.398217 38.618469000000005,-90.397615 38.617547,-90.396983 38.61653
183	349	-1	0	0	0	0	-90.398217 38.618469000000005,-90.397639 38.618753999999996
183	190	-1	0	0	0	0	-90.398217 38.618469000000005,-90.39893 38.618136
424	337	-1	0	0	0	0	-90.38649 38.609083,-90.386753 38.609548000000004
424	461	-1	0	0	0	0	-90.38649 38.609083,-90.386636 38.609023
179	329	-1	0	0	0	0	-90.395473 38.602557000000004,-90.395253 38.602776
488	260	-1	0	0	0	0	-90.39604 38.616593,-90.395283 38.615383
70	199	-1	0	0	0	0	-90.392788 38.616016,-90.392522 38.615575,-90.392401 38.615396000000004
21	67	-1	0	0	0	0	-90.388079 38.610898,-90.38801 38.610832
21	421	-1	0	0	0	0	-90.388079 38.610898,-90.38813 38.610847,-90.388282 38.610696000000004
11	308	-1	0	0	0	0	-90.387721 38.611263,-90.387737 38.61114,-90.387744 38.611056000000005,-90.387744 38.611013,-90.387736 38.610976,-90.387722 38.610948,-90.3877 38.610921000000005
11	502	-1	0	0	0	0	-90.387721 38.611263,-90.387868 38.611108
10	399	-1	0	0	0	0	-90.387618 38.610841,-90.387504 38.610737
90	80	-1	0	0	0	0	-90.38071 38.601571,-90.380595 38.601375000000004,-90.380475 38.60123,-90.380245 38.601034999999996
90	88	-1	0	0	0	0	-90.38071 38.601571,-90.380817 38.601718000000005
90	91	-1	0	0	0	0	-90.38071 38.601571,-90.379553 38.602244999999996
399	29	-1	0	0	0	0	-90.387504 38.610737,-90.387455 38.610690000000005,-90.387426 38.610670999999996,-90.387377 38.610645000000005,-90.387332 38.610637,-90.387282 38.610631,-90.387234 38.610631,-90.387138 38.610640000000004
273	272	-1	0	0	0	0	-90.385616 38.600480000000005,-90.385906 38.60067,-90.386132 38.600825
273	275	-1	0	0	0	0	-90.385616 38.600480000000005,-90.384936 38.60002
468	4	-1	0	0	0	0	-90.388526 38.609763,-90.388312 38.609966,-90.387864 38.610395
334	387	-1	0	0	0	0	-90.390476 38.607049,-90.390699 38.607219
202	201	-1	0	0	0	0	-90.391736 38.605086,-90.39167 38.605063,-90.391051 38.604776,-90.391023 38.604754,-90.391004 38.604724000000004,-90.390989 38.604670999999996
267	250	-1	0	0	0	0	-90.402097 38.611708,-90.402258 38.612134999999995,-90.402346 38.612308999999996,-90.40248 38.612707
267	268	-1	0	0	0	0	-90.402097 38.611708,-90.401852 38.610984
238	236	-1	0	0	0	0	-90.391804 38.609081,-90.392304 38.608517
238	237	-1	0	0	0	0	-90.391804 38.609081,-90.391635 38.608935,-90.391454 38.60879,-90.391395 38.608751
309	321	-1	0	0	0	0	-90.388375 38.611335,-90.388421 38.611381,-90.388734 38.611693
356	22	-1	0	0	0	0	-90.384141 38.614625000000004,-90.384442 38.614345
182	168	-1	0	0	0	0	-90.397475 38.618821,-90.39711 38.617872
182	349	-1	0	0	0	0	-90.397475 38.618821,-90.397639 38.618753999999996
228	68	-1	0	0	0	0	-90.390626 38.609518,-90.390711 38.609582
13	31	-1	0	0	0	0	-90.387774 38.610027,-90.387452 38.610341
13	301	-1	0	0	0	0	-90.387774 38.610027,-90.387762 38.610155,-90.387762 38.610223000000005,-90.387771 38.610271999999995,-90.387781 38.610306,-90.387816 38.610344999999995,-90.387864 38.610395
205	203	-1	0	0	0	0	-90.392787 38.603677000000005,-90.392746 38.603815,-90.392635 38.604061,-90.39255 38.604186
3	14	-1	0	0	0	0	-90.388053 38.610575999999995,-90.388394 38.610248999999996,-90.388927 38.609724,-90.3892 38.609464
74	347	-1	0	0	0	0	-90.38286 38.616417999999996,-90.382649 38.616263000000004
495	131	-1	0	0	0	0	-90.391257 38.607835,-90.391631 38.607482000000005,-90.392179 38.606939
122	40	-1	0	0	0	0	-90.384561 38.610670999999996,-90.38463 38.610609
122	120	-1	0	0	0	0	-90.384561 38.610670999999996,-90.383937 38.610136
12	20	-1	0	0	0	0	-90.38809 38.610608,-90.38814 38.610629,-90.388176 38.610640000000004,-90.388211 38.610640000000004,-90.388257 38.610636,-90.388301 38.610625,-90.388389 38.61059
154	156	-1	0	0	0	0	-90.38746 38.601421,-90.387654 38.60127,-90.387776 38.601185,-90.387879 38.601119,-90.387948 38.601089,-90.388024 38.601049,-90.388065 38.60102,-90.38809 38.600995999999995,-90.388101 38.600972999999996
426	444	-1	0	0	0	0	-90.385408 38.607473,-90.385339 38.607408
429	364	-1	0	0	0	0	-90.38937 38.606226,-90.389687 38.606466999999995
503	6	-1	0	0	0	0	-90.402084 38.596697,-90.402039 38.596657,-90.401985 38.596621,-90.401928 38.596598,-90.401848 38.596574000000004,-90.401766 38.596578
29	28	-1	0	0	0	0	-90.387138 38.610640000000004,-90.386662 38.6111,-90.386447 38.611301999999995
27	126	-1	0	0	0	0	-90.385813 38.611911,-90.385556 38.611712
27	450	-1	0	0	0	0	-90.385813 38.611911,-90.385123 38.612569,-90.384512 38.613141,-90.384405 38.613237
307	37	-1	0	0	0	0	-90.400778 38.598724000000004,-90.401134 38.598358000000005,-90.401488 38.597982
311	432	-1	0	0	0	0	-90.392673 38.616067,-90.392793 38.616267,-90.392966 38.616538,-90.393055 38.61665,-90.393137 38.61674,-90.393231 38.616817,-90.39337 38.6169,-90.393507 38.616961,-90.393646 38.616995,-90.393772 38.617012,-90.393901 38.617019,-90.395012 38.617029,-90.395756 38.61704
271	61	-1	0	0	0	0	-90.384973 38.602893,-90.384946 38.603025,-90.384959 38.603169,-90.384984 38.603294000000005,-90.385032 38.603396000000004,-90.385086 38.603491000000005,-90.385204 38.603646999999995,-90.385424 38.603802,-90.385663 38.603994,-90.385768 38.604108
271	412	-1	0	0	0	0	-90.384973 38.602893,-90.384831 38.602875,-90.384811 38.602873,-90.384793 38.602874,-90.384775 38.602878000000004,-90.384453 38.602946
380	98	-1	0	0	0	0	-90.384402 38.60507,-90.384534 38.604995,-90.384696 38.604928,-90.384864 38.604862,-90.385028 38.604817,-90.385196 38.604777999999996,-90.385354 38.604759
380	326	-1	0	0	0	0	-90.384402 38.60507,-90.384308 38.604952999999995
461	424	-1	0	0	0	0	-90.386636 38.609023,-90.38649 38.609083
457	486	-1	0	0	0	0	-90.387298 38.610096999999996,-90.387008 38.609639
348	237	-1	0	0	0	0	-90.390882 38.609355,-90.391071 38.609096,-90.391281 38.608851,-90.391395 38.608751
348	76	-1	0	0	0	0	-90.390882 38.609355,-90.390808 38.609456
279	297	-1	0	0	0	0	-90.395868 38.616942,-90.395614 38.616948,-90.393924 38.616935999999995,-90.393691 38.616924
222	220	-1	0	0	0	0	-90.392487 38.612273,-90.392401 38.612314999999995,-90.392262 38.612363,-90.391651 38.612521
222	221	-1	0	0	0	0	-90.392487 38.612273,-90.392775 38.612717,-90.392824 38.612794,-90.392847 38.612851,-90.392851 38.612880000000004,-90.392845 38.612918,-90.392834 38.612946
333	351	-1	0	0	0	0	-90.388725 38.611475,-90.388597 38.611355
195	94	-1	0	0	0	0	-90.375489 38.610040999999995,-90.375719 38.609847
195	493	-1	0	0	0	0	-90.375489 38.610040999999995,-90.378372 38.612651,-90.379162 38.613325,-90.380143 38.614141000000004,-90.380362 38.614332000000005
316	276	-1	0	0	0	0	-90.396289 38.616852,-90.396209 38.616804,-90.396158 38.616761
141	208	-1	0	0	0	0	-90.393458 38.602339,-90.393667 38.602182,-90.393829 38.602077,-90.393883 38.602059,-90.393938 38.60206
141	145	-1	0	0	0	0	-90.393458 38.602339,-90.393162 38.602053,-90.393034 38.601918999999995
320	392	-1	0	0	0	0	-90.384271 38.606691,-90.384419 38.606831
68	448	-1	0	0	0	0	-90.390711 38.609582,-90.390888 38.609708999999995,-90.390963 38.609763
177	175	-1	0	0	0	0	-90.39564 38.602396,-90.394804 38.601752000000005
177	179	-1	0	0	0	0	-90.39564 38.602396,-90.395473 38.602557000000004
329	433	-1	0	0	0	0	-90.395253 38.602776,-90.394572 38.60344,-90.393641 38.60434,-90.392818 38.605157
60	59	-1	0	0	0	0	-90.38287 38.606006,-90.382978 38.606141
60	500	-1	0	0	0	0	-90.38287 38.606006,-90.382824 38.605951000000005,-90.382666 38.605790999999996,-90.382611 38.605751999999995,-90.382554 38.605729
359	445	-1	0	0	0	0	-90.388639 38.609194,-90.388385 38.609437
191	190	-1	0	0	0	0	-90.39964 38.617787,-90.39893 38.618136
191	192	-1	0	0	0	0	-90.39964 38.617787,-90.400378 38.617425999999995
407	16	-1	0	0	0	0	-90.382002 38.615809999999996,-90.38219 38.615970000000004,-90.382279 38.616008
443	7	-1	0	0	0	0	-90.384965 38.613744,-90.385521 38.61317,-90.386162 38.612499,-90.386391 38.612187
8	26	-1	0	0	0	0	-90.383911 38.613682,-90.383809 38.613761
109	32	-1	0	0	0	0	-90.389147 38.608345,-90.389184 38.608397,-90.389303 38.608547
20	477	-1	0	0	0	0	-90.388389 38.61059,-90.388579 38.610396
275	273	-1	0	0	0	0	-90.384936 38.60002,-90.385616 38.600480000000005
275	274	-1	0	0	0	0	-90.384936 38.60002,-90.38471 38.600286,-90.384592 38.600458,-90.384434 38.600706,-90.384171 38.601196,-90.383983 38.601426000000004,-90.38382 38.601597
35	504	-1	0	0	0	0	-90.396998 38.602554999999995,-90.39925 38.599798,-90.400255 38.59872,-90.400395 38.598586,-90.400628 38.598363,-90.402249 38.596892,-90.402553 38.596659,-90.402783 38.596483,-90.403744 38.595859000000004,-90.405132 38.595115,-90.406352 38.5946,-90.406527 38.594537,-90.406651 38.594497000000004,-90.406723 38.594473,-90.408272 38.594034,-90.41039 38.593671,-90.410841 38.593634,-90.412592 38.59356,-90.413795 38.593522,-90.414371 38.593503,-90.414508 38.593494,-90.415121 38.59348,-90.41723 38.593334999999996,-90.417689 38.593233,-90.418199 38.593106,-90.419194 38.592867999999996,-90.420162 38.592735000000005,-90.420378 38.592724000000004,-90.420499 38.59272,-90.421416 38.592708,-90.42182 38.592706,-90.422219 38.592702,-90.424604 38.592706,-90.425056 38.592709,-90.428168 38.59273,-90.428362 38.592732,-90.428734 38.592732999999996,-90.428851 38.592734,-90.429407 38.592736,-90.430115 38.592862,-90.432513 38.593029,-90.433082 38.593069,-90.433491 38.593079,-90.434649 38.593117,-90.434669 38.593424,-90.434673 38.593567,-90.43475 38.595020000000005,-90.434925 38.5963,-90.43506 38.597089,-90.435071 38.597483,-90.435071 38.597659,-90.435087 38.598304,-90.43511 38.599205999999995,-90.43512 38.599624,-90.43512 38.599818,-90.435124 38.599951000000004,-90.435131 38.600156,-90.43514 38.60201,-90.435142 38.602422000000004,-90.435169 38.604219,-90.43517 38.604603999999995,-90.435116 38.605196,-90.435093 38.605391999999995,-90.435083 38.605511,-90.435064 38.605689999999996,-90.435046 38.605883,-90.435003 38.606464,-90.435081 38.607539,-90.435305 38.608588,-90.435463 38.609048,-90.43562 38.609509,-90.43568 38.609672,-90.435928 38.610382,-90.435963 38.610479999999995,-90.436002 38.610591,-90.436063 38.610776,-90.436121 38.610946,-90.43655 38.612198,-90.436814 38.612946,-90.437053 38.613567,-90.437265 38.613993,-90.437461 38.61434,-90.438544 38.615789,-90.439205 38.616595000000004,-90.439322 38.616741000000005,-90.439857 38.617428000000004,-90.440578 38.618556,-90.441262 38.619937,-90.441283 38.619995,-90.441564 38.620881,-90.441595 38.621015,-90.441645 38.621226,-90.441711 38.621522,-90.441729 38.621611,-90.441744 38.621685,-90.441753 38.621735,-90.441816 38.622035,-90.441923 38.622612000000004,-90.442121 38.623556,-90.442157 38.623729,-90.442198 38.623931,-90.442254 38.624217,-90.44232 38.624577,-90.442435 38.625301,-90.442489 38.625628,-90.442523 38.625838,-90.44256 38.626051000000004,-90.442598 38.626270000000005,-90.442621 38.626414,-90.442994 38.626577999999995,-90.4431 38.626567,-90.443295 38.626553,-90.443746 38.626339,-90.443704 38.626181,-90.443583 38.625738999999996,-90.443528 38.62559,-90.443494 38.625507999999996,-90.4429 38.623252,-90.442845 38.622967,-90.442673 38.622063,-90.442483 38.621088,-90.442029 38.619506,-90.442233 38.619456,-90.442494 38.619448,-90.442806 38.619447,-90.443225 38.619451999999995,-90.44414 38.619460000000004,-90.444276 38.619461,-90.444458 38.619462999999996,-90.444731 38.619466,-90.445025 38.61947,-90.445373 38.619474,-90.445853 38.619479,-90.445954 38.619481,-90.446295 38.619482000000005,-90.447724 38.619485999999995,-90.448442 38.619485,-90.449424 38.619487,-90.449474 38.617754000000005,-90.449457 38.616066000000004,-90.450464 38.613192,-90.450718 38.613096,-90.45146 38.612815999999995,-90.451636 38.612773000000004,-90.451767 38.612762000000004,-90.453251 38.613293999999996
35	505	-1	0	0	0	0	-90.396998 38.602554999999995,-90.39925 38.599798,-90.400255 38.59872,-90.400395 38.598586,-90.400628 38.598363,-90.402249 38.596892,-90.402553 38.596659,-90.402783 38.596483,-90.403744 38.595859000000004,-90.405132 38.595115,-90.406352 38.5946,-90.406527 38.594537,-90.406651 38.594497000000004,-90.406723 38.594473,-90.407685 38.594245,-90.410495 38.593927,-90.412592 38.59356,-90.41298 38.593334999999996,-90.413864 38.592284,-90.413968 38.592051999999995,-90.414042 38.591778000000005,-90.414092 38.590987,-90.413926 38.590235,-90.413048 38.587630000000004,-90.412394 38.585752,-90.41215 38.584900000000005,-90.411723 38.583267,-90.411646 38.58298,-90.411208 38.581379,-90.410878 38.577951999999996,-90.411181 38.576475,-90.41122 38.576262,-90.411426 38.575184,-90.411495 38.574857,-90.411528 38.574696,-90.411567 38.574467,-90.411599 38.574309,-90.411719 38.573683,-90.410933 38.569364,-90.410576 38.568897,-90.410458 38.568741,-90.410294 38.568522,-90.410187 38.568379,-90.409809 38.567868000000004,-90.409246 38.567122,-90.409099 38.566929,-90.408563 38.566188,-90.408342 38.565833999999995,-90.408229 38.565696,-90.405651 38.560451,-90.405393 38.55934,-90.405098 38.558159,-90.404695 38.556633000000005,-90.404076 38.554193999999995,-90.404027 38.554010000000005,-90.403863 38.553421,-90.40543 38.547662,-90.406201 38.545994,-90.407596 38.542972,-90.407625 38.542891999999995,-90.407697 38.542696,-90.407768 38.542496,-90.40792 38.541889999999995,-90.407823 38.539902,-90.407397 38.538307,-90.407351 38.538131,-90.407325 38.538031000000004,-90.406509 38.534598,-90.405917 38.53098,-90.405892 38.530836,-90.405866 38.530682,-90.405857 38.530637,-90.405829 38.530443000000005,-90.405587 38.529246,-90.405549 38.529128,-90.404935 38.527696,-90.404713 38.527193,-90.404632 38.526973999999996,-90.404574 38.526838,-90.404528 38.526696,-90.404482 38.526537000000005,-90.404456 38.526389,-90.404397 38.525103,-90.404674 38.522766000000004,-90.40471 38.522558000000004,-90.40477 38.522137,-90.404807 38.521798000000004,-90.404775 38.520488,-90.404756 38.519925,-90.404712 38.518642,-90.404569 38.514213999999996,-90.399547 38.504451,-90.39917 38.503838,-90.39891 38.50322,-90.398363 38.501149,-90.398282 38.500832,-90.397494 38.497003,-90.397404 38.49664,-90.397367 38.496481,-90.397324 38.496306000000004,-90.39726 38.496010999999996,-90.397228 38.495863,-90.397052 38.495898,-90.396887 38.495920999999996,-90.396717 38.495964,-90.396186 38.496078,-90.395964 38.496121,-90.395735 38.495194999999995,-90.395455 38.4941,-90.395273 38.493352,-90.395197 38.493051,-90.395149 38.49286,-90.39497 38.492155,-90.394925 38.491968,-90.394394 38.489821,-90.394167 38.488894,-90.393751 38.487239
