ClusteringMethod	ComputationTime	K_LB	K	CCI	NHO	ATD	DMT
METIS_MODIFIED	3.222	2	2	1.05263	17.1228	490.809	34064.5
Starting Node	Ending Node	Cluster	Required	Is Edge	Weight	Volume	Shape
265	289	0	1	1	648	1620	-90.398976 38.612505,-90.398688 38.611979000000005,-90.398465 38.611594,-90.397208 38.609684,-90.396986 38.609308999999996
298	265	0	1	1	72	180	-90.398206 38.612676,-90.398976 38.612505
265	298	0	1	1	72	180	-90.398976 38.612505,-90.398206 38.612676
295	269	0	1	1	180	450	-90.400466 38.610565,-90.400866 38.610462,-90.401608 38.610273
269	295	0	1	1	180	450	-90.401608 38.610273,-90.400866 38.610462,-90.400466 38.610565
282	281	1	1	1	162	405	-90.389256 38.604022,-90.389595 38.603449999999995
281	282	1	1	1	162	405	-90.389595 38.603449999999995,-90.389256 38.604022
285	284	1	1	1	180	450	-90.388342 38.603603,-90.388715 38.602937
284	285	1	1	1	180	450	-90.388715 38.602937,-90.388342 38.603603
294	292	0	1	1	180	450	-90.399726 38.610815,-90.400053 38.611323999999996,-90.400065 38.61134,-90.400095 38.611367,-90.400118 38.611378,-90.400141 38.61139
292	294	0	1	1	180	450	-90.400141 38.61139,-90.400118 38.611378,-90.400095 38.611367,-90.400065 38.61134,-90.400053 38.611323999999996,-90.399726 38.610815
295	293	0	1	1	396	990	-90.400466 38.610565,-90.40041 38.610404,-90.400365 38.610299,-90.400307 38.6102,-90.400259 38.610132,-90.399626 38.609142
293	295	0	1	1	396	990	-90.399626 38.609142,-90.400259 38.610132,-90.400307 38.6102,-90.400365 38.610299,-90.40041 38.610404,-90.400466 38.610565
416	300	1	1	1	18	45	-90.382771 38.603635,-90.382806 38.603542000000004,-90.382833 38.603477999999996,-90.382854 38.603424000000004,-90.382884 38.603361,-90.382902 38.60332,-90.382918 38.60328,-90.38294 38.603238000000005,-90.382972 38.603192,-90.383007 38.603145999999995,-90.383047 38.603104,-90.383111 38.603049999999996
300	416	1	1	1	18	45	-90.383111 38.603049999999996,-90.383047 38.603104,-90.383007 38.603145999999995,-90.382972 38.603192,-90.38294 38.603238000000005,-90.382918 38.60328,-90.382902 38.60332,-90.382884 38.603361,-90.382854 38.603424000000004,-90.382833 38.603477999999996,-90.382806 38.603542000000004,-90.382771 38.603635
261	53	-1	0	1	0	0	-90.395116 38.615442,-90.395 38.615477999999996,-90.39347 38.615888999999996
53	261	-1	0	1	0	0	-90.39347 38.615888999999996,-90.395 38.615477999999996,-90.395116 38.615442
95	65	-1	0	1	0	0	-90.381337 38.604026000000005,-90.381245 38.60416
65	95	-1	0	1	0	0	-90.381245 38.60416,-90.381337 38.604026000000005
237	77	-1	0	1	0	0	-90.391395 38.608751,-90.39185 38.608179
77	237	-1	0	1	0	0	-90.39185 38.608179,-90.391395 38.608751
453	103	-1	0	1	0	0	-90.385888 38.607157,-90.385926 38.607149,-90.386039 38.607127,-90.38612 38.607118,-90.386228 38.607101,-90.386345 38.607061,-90.386447 38.607021,-90.386509 38.606994,-90.386575 38.606963,-90.386641 38.606915,-90.386708 38.606853,-90.386979 38.606597,-90.38769 38.605951000000005
103	453	-1	0	1	0	0	-90.38769 38.605951000000005,-90.386979 38.606597,-90.386708 38.606853,-90.386641 38.606915,-90.386575 38.606963,-90.386509 38.606994,-90.386447 38.607021,-90.386345 38.607061,-90.386228 38.607101,-90.38612 38.607118,-90.386039 38.607127,-90.385926 38.607149,-90.385888 38.607157
471	106	-1	0	1	0	0	-90.387569 38.606897000000004,-90.388141 38.606336
106	471	-1	0	1	0	0	-90.388141 38.606336,-90.387569 38.606897000000004
306	107	-1	0	1	0	0	-90.388734 38.607205,-90.388774 38.607178000000005,-90.388805 38.607157,-90.388836 38.60714,-90.388922 38.607112
107	306	-1	0	1	0	0	-90.388922 38.607112,-90.388836 38.60714,-90.388805 38.607157,-90.388774 38.607178000000005,-90.388734 38.607205
163	138	-1	0	1	0	0	-90.388673 38.600528,-90.388597 38.600277,-90.388474 38.599879,-90.388362 38.599571999999995
138	163	-1	0	1	0	0	-90.388362 38.599571999999995,-90.388474 38.599879,-90.388597 38.600277,-90.388673 38.600528
146	145	-1	0	1	0	0	-90.392252 38.602252,-90.392595 38.602141,-90.39277 38.602058,-90.392892 38.602001,-90.393034 38.601918999999995
145	146	-1	0	1	0	0	-90.393034 38.601918999999995,-90.392892 38.602001,-90.39277 38.602058,-90.392595 38.602141,-90.392252 38.602252
