Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	GPM	17600	24000	3	35094.2	29739.2	25.494	0.706	0.0512013	338.141	1	23353	0.0420561	0.390549	1
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	10	294	390	1	1	216	540	0.0	18.7	78.7	0	0	Straight	0	1090.2	1108.9	LINESTRING(-95.502728 30.210596,-95.502733 30.210818,-95.502724 30.210912,-95.502677 30.211014,-95.502611 30.211076,-95.502511 30.211124)
0	11	390	120	0	1	0	0	0.0	4.6	4.6	1	0	Straight	0	1108.9	1113.5	LINESTRING(-95.502511 30.211124,-95.502403 30.211137,-95.502314 30.211136)
0	12	120	119	0	1	126	315	0.0	14.8	49.8	1	0	Straight	0	1113.5	1163.3	LINESTRING(-95.502314 30.211136,-95.502244 30.211122,-95.502171 30.211082,-95.502135 30.211043,-95.502068 30.210943,-95.502013 30.210837,-95.501969 30.210541,-95.501969 30.210292)
0	13	119	121	0	1	18	45	0.0	27.5	32.5	1	0	Straight	0	1163.3	1195.8	LINESTRING(-95.501969 30.210292,-95.502019 30.210134,-95.502124 30.210033,-95.502279 30.209957,-95.502445 30.209914,-95.502578 30.209904,-95.502699 30.209904)
0	14	121	119	0	1	126	315	0.0	36.6	71.6	1	0	U	125	1320.8	1392.4	LINESTRING(-95.502699 30.209904,-95.502578 30.209904,-95.502445 30.209914,-95.502279 30.209957,-95.502124 30.210033,-95.502019 30.210134,-95.501969 30.210292)
0	15	119	118	0	1	90	225	0.0	18.0	43.0	1	0	Right	5	1397.4	1440.4	LINESTRING(-95.501969 30.210292,-95.501659 30.210268)
0	16	118	119	0	1	72	180	0.0	27.0	47.0	1	0	U	125	1565.4	1612.4	LINESTRING(-95.501659 30.210268,-95.501969 30.210292)
0	17	119	120	0	1	144	360	0.0	12.1	52.1	1	0	Right	5	1617.4	1669.5	LINESTRING(-95.501969 30.210292,-95.501969 30.210541,-95.502013 30.210837,-95.502068 30.210943,-95.502135 30.211043,-95.502171 30.211082,-95.502244 30.211122,-95.502314 30.211136)
0	18	120	390	0	1	180	450	0.0	2.6	52.6	1	0	Straight	0	1669.5	1722.1	LINESTRING(-95.502314 30.211136,-95.502403 30.211137,-95.502511 30.211124)
0	19	390	294	1	1	216	540	0.0	18.7	78.7	1	0	Straight	0	1722.1	1800.8	LINESTRING(-95.502511 30.211124,-95.502611 30.211076,-95.502677 30.211014,-95.502724 30.210912,-95.502733 30.210818,-95.502728 30.210596)
