Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	GPM	35200	48000	2	37344.9	28384.9	10.622	0.644	1	0.101865	625.231	47509.9	0.921743	0	1
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	10	131	144	1	1	18	45	0.0	6.5	11.5	1	0	Straight	0	901.4	912.9	-90.443586 38.706933,-90.443544 38.706833,-90.443409 38.706604,-90.443178 38.706311
0	11	144	21	0	1	36	90	0.0	5.1	15.1	1	0	Straight	0	912.9	928.0	-90.443178 38.706311,-90.443071 38.706210999999996,-90.442955 38.706102,-90.442763 38.705938
0	12	21	19	0	1	36	90	0.0	13.0	23.0	1	0	Right	5	933.0	956.0	-90.442763 38.705938,-90.443111 38.705489,-90.44317 38.705405,-90.443398 38.705197,-90.443412 38.70519
0	13	19	147	0	1	234	585	0.0	52.2	117.2	1	0	Straight	0	956.0	1073.2	-90.443412 38.70519,-90.443669 38.705067,-90.443819 38.705004,-90.444082 38.704949,-90.446062 38.704958000000005
0	14	147	20	1	1	216	540	0.0	13.4	73.4	1	0	Straight	0	1073.2	1146.6	-90.446062 38.704958000000005,-90.446835 38.704983
0	15	20	147	1	1	216	540	0.0	13.4	73.4	0	0	U	125	1271.6	1285.0	-90.446835 38.704983,-90.446062 38.704958000000005
0	16	147	19	0	1	216	540	0.0	39.1	99.1	1	0	Straight	0	1285.0	1384.1	-90.446062 38.704958000000005,-90.444082 38.704949,-90.443819 38.705004,-90.443669 38.705067,-90.443412 38.70519
0	17	19	18	1	1	162	405	0.0	37.6	82.6	1	0	Right	5	1389.1	1471.7	-90.443412 38.70519,-90.443276 38.705061,-90.44321 38.705006999999995,-90.442916 38.704827
0	18	18	19	1	1	162	405	0.0	37.6	82.6	0	0	U	125	1596.7	1634.3	-90.442916 38.704827,-90.44321 38.705006999999995,-90.443276 38.705061,-90.443412 38.70519
0	19	19	21	0	0	0	0	0.0	16.3	0.0	0	0	Right	5	1639.3	1655.6	-90.443412 38.70519,-90.443398 38.705197,-90.44317 38.705405,-90.443111 38.705489,-90.442763 38.705938
0	20	21	142	1	1	108	270	0.0	6.6	36.6	1	0	Right	5	1660.6	1697.2	-90.442763 38.705938,-90.442701 38.705884999999995,-90.442466 38.705724000000004,-90.442282 38.705599,-90.442125 38.705473
0	21	142	140	0	1	90	225	0.0	15.3	40.3	1	0	Straight	0	1697.2	1737.5	-90.442125 38.705473,-90.441985 38.705313000000004,-90.441865 38.705132,-90.441762 38.704954,-90.441713 38.704819,-90.441685 38.704721,-90.441667 38.704578,-90.441659 38.704505,-90.441653 38.704392999999996,-90.44166 38.704253,-90.441669 38.704156999999995,-90.441692 38.704028,-90.441718 38.70393
0	22	140	138	0	1	126	315	0.0	17.1	52.1	1	0	Right	5	1742.5	1794.6	-90.441718 38.70393,-90.441845 38.703967,-90.442054 38.704013,-90.442146 38.704028,-90.442274 38.704045,-90.442485 38.704055,-90.443107 38.704054,-90.443525 38.704052000000004
0	23	138	124	0	1	108	270	0.0	13.1	43.1	1	0	Straight	0	1794.6	1837.7	-90.443525 38.704052000000004,-90.444695 38.704042
0	24	124	148	0	1	126	315	0.0	17.5	52.5	1	0	Straight	0	1837.7	1890.2	-90.444695 38.704042,-90.445016 38.704037,-90.445696 38.704032,-90.445832 38.704037,-90.445932 38.704043,-90.446009 38.704049999999995,-90.446108 38.704062
0	25	148	123	1	1	234	585	0.0	43.6	108.6	1	0	Straight	0	1890.2	1998.8	-90.446108 38.704062,-90.446164 38.704069000000004,-90.44648 38.704094,-90.446797 38.704109,-90.447113 38.704114000000004,-90.447355 38.704109,-90.447488 38.704105
0	26	123	148	1	1	234	585	0.0	43.6	108.6	0	0	U	125	2123.8	2167.4	-90.447488 38.704105,-90.447355 38.704109,-90.447113 38.704114000000004,-90.446797 38.704109,-90.44648 38.704094,-90.446164 38.704069000000004,-90.446108 38.704062
0	27	148	124	0	1	108	270	0.0	20.4	50.4	1	0	Straight	0	2167.4	2217.8	-90.446108 38.704062,-90.446009 38.704049999999995,-90.445932 38.704043,-90.445832 38.704037,-90.445696 38.704032,-90.445016 38.704037,-90.444695 38.704042
0	28	124	25	0	1	36	90	0.0	12.3	22.3	1	0	Right	5	2222.8	2245.1	-90.444695 38.704042,-90.444693 38.703834,-90.44469 38.703236000000004,-90.444689 38.703179
0	29	25	24	0	1	234	585	0.0	60.0	125.0	1	0	Right	5	2250.1	2375.1	-90.444689 38.703179,-90.445267 38.703171999999995,-90.445664 38.703207,-90.446098 38.703241,-90.446723 38.703278,-90.447278 38.703292000000005
0	30	24	25	0	1	216	540	0.0	64.3	124.3	1	0	U	125	2500.1	2624.4	-90.447278 38.703292000000005,-90.446723 38.703278,-90.446098 38.703241,-90.445664 38.703207,-90.445267 38.703171999999995,-90.444689 38.703179
0	31	25	130	0	1	54	135	0.0	8.3	23.3	1	0	Right	5	2629.4	2652.7	-90.444689 38.703179,-90.444681 38.702878,-90.444675 38.702619999999996
0	32	130	129	0	1	18	45	0.0	7.6	12.6	1	0	Straight	0	2652.7	2665.3	-90.444675 38.702619999999996,-90.444675 38.702405999999996,-90.444677 38.702221
0	33	129	377	0	0	0	0	0.0	2.9	0.0	0	0	Right	5	2670.3	2673.2	-90.444677 38.702221,-90.444837 38.702225999999996
0	34	377	128	1	1	396	990	0.0	40.2	150.2	1	0	Straight	0	2673.2	2823.4	-90.444837 38.702225999999996,-90.44489 38.702227,-90.445148 38.702247,-90.44543 38.702284,-90.445911 38.702371,-90.446217 38.70241,-90.446324 38.702420000000004,-90.446434 38.702425000000005,-90.446883 38.702433,-90.447139 38.702433
0	35	128	377	1	1	396	990	0.0	40.2	150.2	0	0	U	125	2948.4	2988.6	-90.447139 38.702433,-90.446883 38.702433,-90.446434 38.702425000000005,-90.446324 38.702420000000004,-90.446217 38.70241,-90.445911 38.702371,-90.44543 38.702284,-90.445148 38.702247,-90.44489 38.702227,-90.444837 38.702225999999996
0	36	377	129	0	0	0	0	0.0	5.5	0.0	0	0	Straight	0	2988.6	2994.1	-90.444837 38.702225999999996,-90.444677 38.702221
0	37	129	150	0	0	0	0	0.0	16.2	0.0	0	0	Right	5	2999.1	3015.3	-90.444677 38.702221,-90.44466 38.701702999999995,-90.444651 38.701452
0	38	150	149	0	1	180	450	0.0	39.6	89.6	1	0	Right	5	3020.3	3109.9	-90.444651 38.701452,-90.444946 38.701445,-90.445124 38.70145,-90.445414 38.701471,-90.445599 38.701488,-90.445874 38.701523,-90.446228 38.701572,-90.446582 38.701606999999996,-90.446808 38.701614,-90.446921 38.70161
0	39	149	150	0	1	180	450	0.0	33.0	83.0	1	0	U	125	3234.9	3317.9	-90.446921 38.70161,-90.446808 38.701614,-90.446582 38.701606999999996,-90.446228 38.701572,-90.445874 38.701523,-90.445599 38.701488,-90.445414 38.701471,-90.445124 38.70145,-90.444946 38.701445,-90.444651 38.701452
0	40	150	23	0	1	90	225	0.0	23.4	48.4	1	0	Straight	0	3317.9	3366.3	-90.444651 38.701452,-90.44435 38.701447,-90.444026 38.701445,-90.4438 38.701433,-90.443595 38.701403,-90.44352 38.701381999999995,-90.443477 38.701362,-90.443444 38.701342,-90.443414 38.701304
0	41	23	152	0	0	0	0	0.0	15.7	0.0	0	0	Straight	0	3366.3	3382.0	-90.443414 38.701304,-90.443404 38.701283000000004,-90.443398 38.70125,-90.4434 38.701229,-90.443416 38.701164,-90.443505 38.700990000000004,-90.443718 38.700619
0	42	152	151	0	1	306	765	0.0	52.3	137.3	1	0	Right	5	3387.0	3524.3	-90.443718 38.700619,-90.443796 38.700653,-90.443891 38.700669000000005,-90.443967 38.700677,-90.44413 38.700681,-90.444508 38.700683,-90.444895 38.700679,-90.445285 38.70067,-90.445519 38.700676,-90.445701 38.700686000000005,-90.446016 38.700713,-90.446259 38.700745999999995,-90.446427 38.700762999999995,-90.446522 38.700769,-90.446604 38.700766,-90.446717 38.70076
0	43	151	152	0	1	270	675	0.0	104.6	179.6	1	0	U	125	3649.3	3828.9	-90.446717 38.70076,-90.446604 38.700766,-90.446522 38.700769,-90.446427 38.700762999999995,-90.446259 38.700745999999995,-90.446016 38.700713,-90.445701 38.700686000000005,-90.445519 38.700676,-90.445285 38.70067,-90.444895 38.700679,-90.444508 38.700683,-90.44413 38.700681,-90.443967 38.700677,-90.443891 38.700669000000005,-90.443796 38.700653,-90.443718 38.700619
0	44	152	23	0	1	72	180	0.0	12.0	32.0	1	0	Left	25	3853.9	3885.9	-90.443718 38.700619,-90.443505 38.700990000000004,-90.443416 38.701164,-90.4434 38.701229,-90.443398 38.70125,-90.443404 38.701283000000004,-90.443414 38.701304
