Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	Full MILP	35200	48000	2	30898.2	25753.2	7201.35	0	0.558937	524.308	1.10526	41937.2	2.20133	0.890562	0
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	19	102	340	0	0	0	0	0.0	2.1	0.0	0	0	Straight	0	735.6	737.7	LINESTRING(-95.387033 30.105232,-95.386868 30.105106,-95.386833 30.105083)
0	20	340	100	0	1	18	45	0.0	8.6	13.6	1	0	Straight	0	737.7	751.3	LINESTRING(-95.386833 30.105083,-95.386717 30.105006,-95.386480 30.104844,-95.386346 30.104782,-95.386260 30.104740,-95.386145 30.104701,-95.386001 30.104660,-95.385857 30.104631)
0	21	100	97	0	0	0	0	0.0	4.5	0.0	0	0	Straight	0	751.3	755.8	LINESTRING(-95.385857 30.104631,-95.385710 30.104616,-95.385534 30.104611,-95.385383 30.104614,-95.385279 30.104624)
0	22	97	326	0	1	18	45	0.0	8.5	13.5	1	0	Straight	0	755.8	769.3	LINESTRING(-95.385279 30.104624,-95.385067 30.104648,-95.384877 30.104695,-95.384638 30.104778,-95.384430 30.104878,-95.384308 30.104953)
0	23	326	463	0	0	0	0	0.0	5.3	0.0	0	0	Right	5	774.3	779.6	LINESTRING(-95.384308 30.104953,-95.384141 30.104744)
0	24	463	437	0	1	108	270	0.0	2.9	32.9	1	0	Straight	0	779.6	812.5	LINESTRING(-95.384141 30.104744,-95.384104 30.104712,-95.384066 30.104703,-95.384026 30.104703,-95.383983 30.104703)
0	25	437	416	0	1	162	405	0.0	43.8	88.8	1	0	Straight	0	812.5	901.3	LINESTRING(-95.383983 30.104703,-95.383946 30.104710,-95.383914 30.104724,-95.383852 30.104763,-95.383736 30.104842,-95.383685 30.104872,-95.383659 30.104879,-95.383627 30.104886,-95.383592 30.104888,-95.383543 30.104879,-95.383484 30.104865,-95.383407 30.104819,-95.382733 30.104297,-95.382696 30.104260,-95.382661 30.104229,-95.382631 30.104197,-95.382602 30.104148,-95.382597 30.104116,-95.382599 30.104065,-95.382610 30.104016,-95.382771 30.103635)
0	26	416	393	0	1	270	675	0.0	89.3	164.3	1	0	Right	5	906.3	1070.6	LINESTRING(-95.382771 30.103635,-95.382857 30.103656,-95.382910 30.103677,-95.382964 30.103700,-95.382996 30.103719,-95.383565 30.104125,-95.383610 30.104143,-95.383643 30.104157,-95.383683 30.104160,-95.383712 30.104148,-95.383752 30.104136,-95.384348 30.103772,-95.384477 30.103686,-95.384509 30.103659,-95.384522 30.103633,-95.384525 30.103596,-95.384520 30.103547,-95.384488 30.103266,-95.384466 30.103104,-95.384461 30.103046)
0	27	393	489	0	1	72	180	0.0	22.8	42.8	1	0	Left	25	1095.6	1138.4	LINESTRING(-95.384461 30.103046,-95.384364 30.103048,-95.384300 30.103053,-95.384243 30.103060,-95.384179 30.103085,-95.384101 30.103136,-95.383860 30.103320,-95.383798 30.103354,-95.383755 30.103382,-95.383723 30.103392,-95.383683 30.103399,-95.383671 30.103399)
0	28	489	300	0	0	0	0	0.0	17.2	0.0	0	0	Straight	0	1138.4	1155.6	LINESTRING(-95.383671 30.103399,-95.383645 30.103399,-95.383605 30.103380,-95.383557 30.103345,-95.383111 30.103050)
0	29	300	412	0	1	72	180	0.0	43.6	63.6	1	0	Right	5	1160.6	1224.2	LINESTRING(-95.383111 30.103050,-95.383165 30.102992,-95.383256 30.102914,-95.383420 30.102788,-95.383562 30.102693,-95.383589 30.102670,-95.383624 30.102645,-95.383669 30.102612,-95.383712 30.102589,-95.383755 30.102563,-95.383803 30.102549,-95.383871 30.102549,-95.383914 30.102561,-95.383975 30.102587,-95.384281 30.102726,-95.384337 30.102753,-95.384377 30.102777,-95.384412 30.102821,-95.384434 30.102872,-95.384453 30.102946)
0	30	412	393	0	1	252	630	0.0	2.3	72.3	1	0	Straight	0	1224.2	1296.5	LINESTRING(-95.384453 30.102946,-95.384461 30.103046)
