Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	Full MILP	35200	48000	2	28221.6	23596.6	7200.57	0	1.61905	0.426007	486.591	26768.8	0.835045	2.29564	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	10	26	212	0	0	0	0	0.0	9.1	0.0	0	0	Straight	0	802.6	811.7	-90.50701 38.668921999999995,-90.50744 38.669456,-90.507619 38.669699,-90.508005 38.670125
0	11	212	134	0	0	0	0	0.0	54.7	0.0	0	0	Straight	0	811.7	866.4	-90.508005 38.670125,-90.50829 38.670446999999996,-90.5085 38.670629000000005,-90.508866 38.670939000000004,-90.50915 38.671178999999995,-90.509317 38.671311,-90.509604 38.671537,-90.509744 38.671636,-90.509911 38.67175,-90.510292 38.671982,-90.510668 38.672197,-90.511126 38.672431,-90.511564 38.672626,-90.512125 38.67291,-90.512397 38.673048,-90.512571 38.673142,-90.512862 38.673279,-90.513284 38.67349,-90.51354 38.673634,-90.514044 38.673865,-90.51426 38.673953999999995,-90.515415 38.674493,-90.516167 38.674792,-90.516949 38.675118
0	12	134	136	0	0	0	0	0.0	0.8	0.0	0	0	Straight	0	866.4	867.2	-90.516949 38.675118,-90.517067 38.675163
0	13	136	424	0	0	0	0	0.0	6.4	0.0	0	0	Straight	0	867.2	873.6	-90.517067 38.675163,-90.518259 38.675553
0	14	424	137	0	0	0	0	0.0	7.8	0.0	0	0	Straight	0	873.6	881.4	-90.518259 38.675553,-90.519349 38.675889,-90.51988 38.676032
0	15	137	417	0	0	0	0	0.0	26.9	0.0	0	0	Straight	0	881.4	908.3	-90.51988 38.676032,-90.520716 38.676249,-90.521525 38.676429999999996,-90.522955 38.676725000000005,-90.523531 38.676817,-90.52419 38.676899,-90.525477 38.677067
0	16	417	410	0	0	0	0	0.0	1.4	0.0	0	0	Straight	0	908.3	909.7	-90.525477 38.677067,-90.525729 38.677101
0	17	410	390	0	0	0	0	0.0	2.6	0.0	0	0	Straight	0	909.7	912.3	-90.525729 38.677101,-90.525741 38.677102000000005,-90.526108 38.67716
0	18	390	157	0	0	0	0	0.0	6.5	0.0	0	0	Straight	0	912.3	918.8	-90.526108 38.67716,-90.526646 38.677245
0	19	157	432	0	0	0	0	0.0	5.3	0.0	0	0	Right	5	923.8	929.1	-90.526646 38.677245,-90.526531 38.677751
0	20	432	182	0	0	0	0	0.0	26.3	0.0	0	0	Straight	0	929.1	955.4	-90.526531 38.677751,-90.526258 38.678955,-90.526031 38.679688999999996,-90.525867 38.680150999999995,-90.525691 38.680548
0	21	182	179	0	0	0	0	0.0	7.5	0.0	0	0	Right	5	960.4	967.9	-90.525691 38.680548,-90.525151 38.680338,-90.525051 38.680347
0	22	179	178	0	0	0	0	0.0	0.4	0.0	0	0	Straight	0	967.9	968.3	-90.525051 38.680347,-90.525006 38.680329
0	23	178	37	0	0	0	0	0.0	2.8	0.0	0	0	Right	5	973.3	976.1	-90.525006 38.680329,-90.525101 38.68012
0	24	37	24	1	1	342	855	0.0	26.1	121.1	0	0	Straight	0	976.1	1002.2	-90.525101 38.68012,-90.525319 38.679639,-90.525542 38.678966,-90.525644 38.678512999999995,-90.525669 38.678393,-90.525686 38.678229
0	25	24	177	0	1	54	135	0.0	6.2	21.2	1	0	Straight	0	1002.2	1023.4	-90.525686 38.678229,-90.525679 38.678090999999995,-90.525619 38.677992
0	26	177	328	0	1	108	270	0.0	23.0	53.0	1	0	Straight	0	1023.4	1076.4	-90.525619 38.677992,-90.525567 38.677936,-90.525527 38.677907000000005,-90.525394 38.677876,-90.524939 38.677814999999995,-90.524743 38.677801
0	27	328	329	0	1	72	180	0.0	22.9	42.9	1	0	Straight	0	1076.4	1119.3	-90.524743 38.677801,-90.523833 38.677654000000004
0	28	329	148	0	1	90	225	0.0	24.0	49.0	1	0	Straight	0	1119.3	1168.3	-90.523833 38.677654000000004,-90.523419 38.677587,-90.523211 38.677564000000004,-90.523071 38.677574,-90.522989 38.677600999999996,-90.522904 38.677661
0	29	148	35	0	1	18	45	0.0	3.4	8.4	1	0	Straight	0	1168.3	1176.7	-90.522904 38.677661,-90.522857 38.677692,-90.522813 38.677748,-90.522761 38.677858
0	30	35	147	1	1	234	585	0.0	23.9	88.9	1	0	Straight	0	1176.7	1265.6	-90.522761 38.677858,-90.522727 38.677949999999996,-90.522586 38.678708,-90.522491 38.679277
0	31	147	146	0	0	0	0	0.0	3.2	0.0	0	0	Right	5	1270.6	1273.8	-90.522491 38.679277,-90.522169 38.679272
0	32	146	145	0	0	0	0	0.0	1.7	0.0	0	0	Straight	0	1273.8	1275.5	-90.522169 38.679272,-90.521991 38.679279
0	33	145	82	0	0	0	0	0.0	16.0	0.0	0	0	Straight	0	1275.5	1291.5	-90.521991 38.679279,-90.521872 38.67928,-90.521537 38.679247000000004,-90.520843 38.679176999999996,-90.520656 38.679157000000004,-90.520514 38.679165,-90.520314 38.679218,-90.520216 38.679255999999995
0	34	82	84	0	0	0	0	0.0	1.5	0.0	0	0	Straight	0	1291.5	1293.0	-90.520216 38.679255999999995,-90.520074 38.679341
0	35	84	245	0	0	0	0	0.0	9.0	0.0	0	0	Straight	0	1293.0	1302.0	-90.520074 38.679341,-90.519942 38.679517000000004,-90.519891 38.679631,-90.519806 38.680131
0	36	245	244	0	1	18	45	0.0	23.8	28.8	1	0	Right	5	1307.0	1335.8	-90.519806 38.680131,-90.519394 38.680124
0	37	244	222	0	1	18	45	0.0	5.5	10.5	1	0	Straight	0	1335.8	1346.3	-90.519394 38.680124,-90.51936 38.680142000000004,-90.519342 38.680170000000004,-90.519343 38.6802
0	38	222	283	0	1	18	45	0.0	9.3	14.3	1	0	Straight	0	1346.3	1360.6	-90.519343 38.6802,-90.519355 38.680239,-90.51937 38.680261,-90.519423 38.680283
0	39	283	285	1	1	18	45	0.0	20.2	25.2	1	0	Straight	0	1360.6	1385.8	-90.519423 38.680283,-90.519711 38.680324
