Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	WJ19	35200	48000	2	38856.6	28701.6	1.54791	0	0.619958	725.219	1.27027	41785.1	2.8248	1.62366	0
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	10	162	161	0	1	54	135	0.0	10.9	25.9	1	0	Straight	0	1314.3	1340.2	LINESTRING(-95.549152 30.224377,-95.549483 30.224374,-95.549795 30.224369,-95.550340 30.224356,-95.550809 30.224343,-95.551384 30.224312)
0	11	161	276	0	1	18	45	0.0	7.0	12.0	1	0	Straight	0	1340.2	1352.2	LINESTRING(-95.551384 30.224312,-95.551994 30.224293,-95.552328 30.224282,-95.552671 30.224265)
0	12	276	160	0	1	36	90	0.0	6.2	16.2	1	0	Straight	0	1352.2	1368.4	LINESTRING(-95.552671 30.224265,-95.552756 30.224261,-95.553280 30.224241,-95.553651 30.224229)
0	13	160	159	0	1	18	45	0.0	4.8	9.8	1	0	Straight	0	1368.4	1378.2	LINESTRING(-95.553651 30.224229,-95.554223 30.224225)
0	14	159	155	0	1	36	90	0.0	7.1	17.1	1	0	Straight	0	1378.2	1395.3	LINESTRING(-95.554223 30.224225,-95.555331 30.224216)
0	15	155	196	0	1	18	45	0.0	6.3	11.3	1	0	Straight	0	1395.3	1406.6	LINESTRING(-95.555331 30.224216,-95.556167 30.224222)
0	16	196	154	0	1	18	45	0.0	2.1	7.1	1	0	Straight	0	1406.6	1413.7	LINESTRING(-95.556167 30.224222,-95.556411 30.224224)
0	17	154	166	0	1	90	225	0.0	17.3	42.3	1	0	Straight	0	1413.7	1456.0	LINESTRING(-95.556411 30.224224,-95.557331 30.224216,-95.557761 30.224203,-95.558159 30.224185)
0	18	166	15	0	1	36	90	0.0	7.2	17.2	1	0	Straight	0	1456.0	1473.2	LINESTRING(-95.558159 30.224185,-95.558553 30.224149,-95.558849 30.224112,-95.559212 30.224058)
0	19	15	233	0	1	90	225	0.0	12.5	37.5	1	0	Straight	0	1473.2	1510.7	LINESTRING(-95.559212 30.224058,-95.559222 30.224057,-95.559590 30.223986,-95.559795 30.223941,-95.559999 30.223889,-95.560195 30.223837,-95.560304 30.223803,-95.560802 30.223649,-95.560881 30.223622,-95.560972 30.223590)
0	20	233	18	0	0	0	0	0.0	0.8	0.0	0	0	Straight	0	1510.7	1511.5	LINESTRING(-95.560972 30.223590,-95.561057 30.223558)
0	21	18	13	0	1	18	45	0.0	2.4	7.4	1	0	Straight	0	1511.5	1518.9	LINESTRING(-95.561057 30.223558,-95.561286 30.223469)
0	22	13	14	0	0	0	0	0.0	0.7	0.0	0	0	Straight	0	1518.9	1519.6	LINESTRING(-95.561286 30.223469,-95.561356 30.223443)
0	23	14	280	0	1	36	90	0.0	5.6	15.6	1	0	Straight	0	1519.6	1535.2	LINESTRING(-95.561356 30.223443,-95.561540 30.223372,-95.561855 30.223253)
0	24	280	167	0	0	0	0	0.0	1.7	0.0	0	0	Straight	0	1535.2	1536.9	LINESTRING(-95.561855 30.223253,-95.561979 30.223207)
0	25	167	171	0	1	18	45	0.0	13.6	18.6	1	0	Straight	0	1536.9	1555.5	LINESTRING(-95.561979 30.223207,-95.562556 30.222989)
0	26	171	17	0	1	18	45	0.0	9.1	14.1	1	0	Straight	0	1555.5	1569.6	LINESTRING(-95.562556 30.222989,-95.563390 30.222674,-95.563662 30.222572)
0	27	17	190	0	0	0	0	0.0	4.6	0.0	0	0	Straight	0	1569.6	1574.2	LINESTRING(-95.563662 30.222572,-95.564209 30.222368)
0	28	190	11	1	1	18	45	0.0	5.0	10.0	1	0	Straight	0	1574.2	1584.2	LINESTRING(-95.564209 30.222368,-95.564736 30.222172)
0	29	11	12	0	1	36	90	0.0	13.1	23.1	1	0	Straight	0	1584.2	1607.3	LINESTRING(-95.564736 30.222172,-95.565120 30.222029,-95.565884 30.221738)
0	30	12	267	0	0	0	0	0.0	3.8	0.0	0	0	Straight	0	1607.3	1611.1	LINESTRING(-95.565884 30.221738,-95.566197 30.221619)
0	31	267	199	0	0	0	0	0.0	2.9	0.0	0	0	Straight	0	1611.1	1614.0	LINESTRING(-95.566197 30.221619,-95.566427 30.221531)
0	32	199	170	0	0	0	0	0.0	6.3	0.0	0	0	Straight	0	1614.0	1620.3	LINESTRING(-95.566427 30.221531,-95.566846 30.221372)
0	33	170	31	0	0	0	0	0.0	3.7	0.0	0	0	Straight	0	1620.3	1624.0	LINESTRING(-95.566846 30.221372,-95.567031 30.221303)
